Município ID,Município,Ano,Índice de Envelhecimento
4312708,Nonoai - RS,2010,61.04
4312708,Nonoai - RS,2022,95.69
4312757,Nova Alvorada - RS,2010,74.58
4312757,Nova Alvorada - RS,2022,130.38
4312807,Nova Araçá - RS,2010,90.43
4312807,Nova Araçá - RS,2022,121.50
4312906,Nova Bassano - RS,2010,89.60
4312906,Nova Bassano - RS,2022,149.56
4312955,Nova Boa Vista - RS,2010,140.86
4312955,Nova Boa Vista - RS,2022,215.79
4313003,Nova Bréscia - RS,2010,130.49
4313003,Nova Bréscia - RS,2022,245.59
4313011,Nova Candelária - RS,2010,109.79
4313011,Nova Candelária - RS,2022,155.60
4313037,Nova Esperança do Sul - RS,2010,75.52
4313037,Nova Esperança do Sul - RS,2022,132.38
4313060,Nova Hartz - RS,2010,31.22
4313060,Nova Hartz - RS,2022,73.18
4313086,Nova Pádua - RS,2010,133.96
4313086,Nova Pádua - RS,2022,238.21
4313102,Nova Palma - RS,2010,81.98
4313102,Nova Palma - RS,2022,186.90
4313201,Nova Petrópolis - RS,2010,93.30
4313201,Nova Petrópolis - RS,2022,130.39
4313300,Nova Prata - RS,2010,71.93
4313300,Nova Prata - RS,2022,117.07
4313334,Nova Ramada - RS,2010,96.65
4313334,Nova Ramada - RS,2022,188.29
4313359,Nova Roma do Sul - RS,2010,107.06
4313359,Nova Roma do Sul - RS,2022,201.76
4313375,Nova Santa Rita - RS,2010,37.22
4313375,Nova Santa Rita - RS,2022,67.53
4313391,Novo Cabrais - RS,2010,86.92
4313391,Novo Cabrais - RS,2022,168.12
4313409,Novo Hamburgo - RS,2010,51.71
4313409,Novo Hamburgo - RS,2022,108.83
4313425,Novo Machado - RS,2010,114.50
4313425,Novo Machado - RS,2022,231.55
4313441,Novo Tiradentes - RS,2010,77.28
4313441,Novo Tiradentes - RS,2022,155.12
4313466,Novo Xingu - RS,2010,106.23
4313466,Novo Xingu - RS,2022,183.40
4313490,Novo Barreiro - RS,2010,81.42
4313490,Novo Barreiro - RS,2022,137.35
4313508,Osório - RS,2010,61.95
4313508,Osório - RS,2022,105.54
4313607,Paim Filho - RS,2010,98.73
4313607,Paim Filho - RS,2022,235.28
4313656,Palmares do Sul - RS,2010,85.80
4313656,Palmares do Sul - RS,2022,164.41
4313706,Palmeira das Missões - RS,2010,55.64
4313706,Palmeira das Missões - RS,2022,101.86
4313805,Palmitinho - RS,2010,71.76
4313805,Palmitinho - RS,2022,116.05
4313904,Panambi - RS,2010,56.83
4313904,Panambi - RS,2022,89.71
4313953,Pantano Grande - RS,2010,61.53
4313953,Pantano Grande - RS,2022,110.55
4314001,Paraí - RS,2010,78.55
4314001,Paraí - RS,2022,148.09
4314027,Paraíso do Sul - RS,2010,93.70
4314027,Paraíso do Sul - RS,2022,177.64
4314035,Pareci Novo - RS,2010,88.25
4314035,Pareci Novo - RS,2022,120.90
4314050,Parobé - RS,2010,32.00
4314050,Parobé - RS,2022,71.31
4314068,Passa Sete - RS,2010,51.50
4314068,Passa Sete - RS,2022,141.37
4314076,Passo do Sobrado - RS,2010,85.91
4314076,Passo do Sobrado - RS,2022,142.83
4314100,Passo Fundo - RS,2010,55.67
4314100,Passo Fundo - RS,2022,92.40
4314134,Paulo Bento - RS,2010,118.28
